season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
F2013,95,24,26.35340547,-111.8003041,NA,10,7,2052.5072,0.142,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,25,26.35320003,-111.80005,NA,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,26,26.35282997,-111.79937,NA,12,20,20106.19298,0.18,Yes,0.025,502.6548246,0,0,0,16,28,5,2,51,2.433115061,0,60
F2013,95,02C,26.35790362,-111.8035615,272.66,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,02D,26.35767505,-111.8036669,NA,NA,NA,NA,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,30,26.35784998,-111.803563,259.59,16,20,26808.25731,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,31,26.35787403,-111.803632,261.66,12,6,1809.557368,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,32,26.35786196,-111.803542,262.13,5,8,1340.412866,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,33,26.35763699,-111.803422,259.99,8,3,301.5928947,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,34,26.35728001,-111.80325,257.81,16,8,4289.32117,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,35,26.35731999,-111.803221,256.84,1,0.5,1.047197551,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,36,26.35737799,-111.803167,258.07,1.5,2,25.13274123,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,37,26.35716802,-111.803216,256.88,12,14,9852.034562,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,38,26.35284296,-111.799396,252.69,10,16,10723.30292,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,39,26.35273601,-111.799428,265.12,9.5,7,1949.88184,0.18,Yes,0.025,48.74704601,0,3,2,3,19,19,10,56,3.71563981,0,60
F2013,95,4,26.35720398,-111.8031476,264.25,NA,NA,NA,0.047,Yes,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,40,26.35310297,-111.800006,253.63,10,9.5,3780.38316,0.186,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,41,26.35335702,-111.800251,253.67,11,7,2257.75792,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,42,26.35336901,-111.80035,253.15,14,9,4750.088092,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,43,26.35737095,-111.8032078,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,43N,26.35365098,-111.800853,250.14,9,3.5,461.8141201,0.104,NA,NA,NA,0,0,0,5,41,0,0,46,1.240328253,7,60
F2013,95,43S,26.35364704,-111.800853,250.14,9,6,1357.168026,0.104,Yes,0.85,1153.592822,0,0,0,21,30,0,0,51,1.939597315,5,60
F2013,95,44NE,26.35366397,-111.800873,250.15,NA,NA,NA,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,44S,26.35365802,-111.80087,250.15,4,2.5,104.7197551,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,44SW,26.35367403,-111.800884,250.15,1,2,16.75516082,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
